timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692338859949,814,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,20,20,null,0,0,0
1692338859978,851,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,20,20,null,0,0,0
1692338860054,809,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,536,619,20,20,null,0,0,0
1692338860059,856,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,536,619,20,20,null,0,0,0
1692338867682,537,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,20,20,null,0,0,0
1692338867637,623,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,20,20,null,0,0,0
1692338868854,485,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,536,619,20,20,null,0,0,0
1692338869089,532,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,536,619,20,20,null,0,0,0
1692338869472,521,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,536,619,20,20,null,0,0,0
1692338870354,582,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,536,619,20,20,null,0,0,0
1692338870449,592,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,536,619,20,20,null,0,0,0
1692338870537,744,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,536,619,20,20,null,0,0,0
1692338870841,729,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,20,20,null,0,0,0
1692338870768,823,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,20,20,null,0,0,0
1692338870869,754,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,536,619,20,20,null,0,0,0
1692338870920,777,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,536,619,20,20,null,0,0,0
1692338878227,813,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,25,25,null,0,0,0
1692338878278,859,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,25,25,null,0,0,0
1692338878312,958,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,536,619,25,25,null,0,0,0
1692338878327,995,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,536,619,25,25,null,0,0,0
1692338878319,1003,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,536,619,25,25,null,0,0,0
1692338878335,998,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,536,619,25,25,null,0,0,0
1692338878303,1033,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,536,619,25,25,null,0,0,0
1692338879347,592,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,536,619,25,25,null,0,0,0
1692338879627,672,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,536,619,25,25,null,0,0,0
1692338879999,533,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,536,619,25,25,null,0,0,0
1692338880942,726,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,536,619,25,25,null,0,0,0
1692338881047,646,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,536,619,25,25,null,0,0,0
1692338881286,833,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,536,619,25,25,null,0,0,0
1692338881576,783,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,25,25,null,0,0,0
1692338881704,958,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,536,619,25,25,null,0,0,0
1692338881597,1124,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,25,25,null,0,0,0
1692338881629,1134,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,536,619,25,25,null,0,0,0
1692338889046,506,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,25,25,null,0,0,0
1692338889141,464,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,25,25,null,0,0,0
1692338889276,736,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,536,619,25,25,null,0,0,0
1692338889326,715,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,536,619,25,25,null,0,0,0
1692338889339,728,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,536,619,25,25,null,0,0,0
1692338889945,474,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,536,619,25,25,null,0,0,0
1692338890304,528,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,536,619,25,25,null,0,0,0
1692338890536,481,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,536,619,25,25,null,0,0,0
1692338891699,469,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,536,619,25,25,null,0,0,0
1692338891671,542,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,536,619,25,25,null,0,0,0
1692338892130,488,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,536,619,25,25,null,0,0,0
1692338892363,485,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,25,25,null,0,0,0
1692338892727,584,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,25,25,null,0,0,0
1692338892666,701,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,536,619,25,25,null,0,0,0
1692338892768,667,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,536,619,25,25,null,0,0,0
1692338899557,435,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,25,25,null,0,0,0
1692338899609,451,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,25,25,null,0,0,0
1692338900045,612,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,536,619,25,25,null,0,0,0
1692338900016,657,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,536,619,25,25,null,0,0,0
1692338900072,641,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,536,619,25,25,null,0,0,0
1692338900426,544,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,536,619,25,25,null,0,0,0
1692338900838,478,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,536,619,25,25,null,0,0,0
1692338901022,477,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,536,619,25,25,null,0,0,0
1692338902173,519,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,536,619,25,25,null,0,0,0
1692338902219,547,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,536,619,25,25,null,0,0,0
1692338902623,393,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,536,619,25,25,null,0,0,0
1692338902852,428,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,25,25,null,0,0,0
1692338903317,513,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,25,25,null,0,0,0
1692338903374,552,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,536,619,25,25,null,0,0,0
1692338903439,553,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,536,619,25,25,null,0,0,0
1692338908326,821,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-26,text,true,,536,619,30,30,null,0,0,0
1692338908344,831,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,536,619,30,30,null,0,0,0
1692338908332,929,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,536,619,30,30,null,0,0,0
1692338908350,912,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,536,619,30,30,null,0,0,0
1692338908339,926,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,536,619,30,30,null,0,0,0
1692338909997,511,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,30,30,null,0,0,0
1692338910066,468,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,30,30,null,0,0,0
1692338910662,426,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,536,619,30,30,null,0,0,0
1692338910719,646,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,536,619,30,30,null,0,0,0
1692338910677,714,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,536,619,30,30,null,0,0,0
1692338910976,518,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,536,619,30,30,null,0,0,0
1692338911320,445,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,536,619,30,30,null,0,0,0
1692338911507,484,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,536,619,30,30,null,0,0,0
1692338912771,473,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,536,619,30,30,null,0,0,0
1692338912696,646,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,536,619,30,30,null,0,0,0
1692338913021,612,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,536,619,30,30,null,0,0,0
1692338913285,402,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,30,30,null,0,0,0
1692338913835,531,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,30,30,null,0,0,0
1692338913930,481,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,536,619,30,30,null,0,0,0
1692338913997,656,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,536,619,30,30,null,0,0,0
1692338919179,482,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,536,619,30,30,null,0,0,0
1692338919152,518,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-26,text,true,,536,619,30,30,null,0,0,0
1692338919269,537,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,536,619,30,30,null,0,0,0
1692338919267,632,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,536,619,30,30,null,0,0,0
1692338919267,645,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,536,619,30,30,null,0,0,0
1692338920515,454,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,30,30,null,0,0,0
1692338920540,457,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,30,30,null,0,0,0
1692338921094,376,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,536,619,30,30,null,0,0,0
1692338921370,442,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,536,619,30,30,null,0,0,0
