timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691073005599,1336,IVR_01_Add Bill,200,OK,Ultimate Thread Group_IVR 1-10,text,true,,503,1165,2,2,https://np-api.leaguedata.ca/uat/ivr-eapi/v1/IVRService/IVRPort,1335,0,341
1691073006175,805,IVR_01_Add Bill,200,OK,Ultimate Thread Group_IVR 1-9,text,true,,503,1165,2,2,https://np-api.leaguedata.ca/uat/ivr-eapi/v1/IVRService/IVRPort,805,0,17
1691073007175,590,IVR_01_Add Bill,200,OK,Ultimate Thread Group_IVR 1-8,text,true,,503,1165,3,3,https://np-api.leaguedata.ca/uat/ivr-eapi/v1/IVRService/IVRPort,590,0,12
1691073008159,549,IVR_01_Add Bill,200,OK,Ultimate Thread Group_IVR 1-7,text,true,,503,1165,4,4,https://np-api.leaguedata.ca/uat/ivr-eapi/v1/IVRService/IVRPort,549,0,22
1691073009160,595,IVR_01_Add Bill,200,OK,Ultimate Thread Group_IVR 1-6,text,true,,503,1165,5,5,https://np-api.leaguedata.ca/uat/ivr-eapi/v1/IVRService/IVRPort,595,0,19
1691073010161,660,IVR_01_Add Bill,200,OK,Ultimate Thread Group_IVR 1-5,text,true,,503,1165,6,6,https://np-api.leaguedata.ca/uat/ivr-eapi/v1/IVRService/IVRPort,660,0,15
1691073011163,530,IVR_01_Add Bill,200,OK,Ultimate Thread Group_IVR 1-4,text,true,,503,1165,7,7,https://np-api.leaguedata.ca/uat/ivr-eapi/v1/IVRService/IVRPort,530,0,25
1691073012158,584,IVR_01_Add Bill,200,OK,Ultimate Thread Group_IVR 1-3,text,true,,543,1165,8,8,https://np-api.leaguedata.ca/uat/ivr-eapi/v1/IVRService/IVRPort,584,0,15
1691073011993,1209,IVR_02_Pay Bill,200,OK,Ultimate Thread Group_IVR 1-9,text,true,,547,1170,9,9,https://np-api.leaguedata.ca/uat/ivr-eapi/v1/IVRService/IVRPort,1209,0,0
1691073011972,1387,IVR_02_Pay Bill,200,OK,Ultimate Thread Group_IVR 1-10,text,true,,547,1170,9,9,https://np-api.leaguedata.ca/uat/ivr-eapi/v1/IVRService/IVRPort,1387,0,0
